"date","sessions","goal1.completions","goal2.completions","goal3.completions"
2013-12-30,67,2,0,2
2013-12-31,37,5,0,1
2014-01-01,23,3,0,0
2014-01-02,66,9,0,0
2014-01-03,72,5,0,0
2014-01-04,27,1,0,1
2014-01-05,33,2,0,1
2014-01-06,43,7,0,2
2014-01-07,145,7,4,2
2014-01-08,154,11,0,0
2014-01-09,237,18,1,2
2014-01-10,143,13,1,1
2014-01-11,61,6,0,0
2014-01-12,51,3,0,0
2014-01-13,216,21,0,0
2014-01-14,163,16,0,2
2014-01-15,181,15,1,1
2014-01-16,171,13,1,2
2014-01-17,161,18,1,4
2014-01-18,86,5,0,1
2014-01-19,78,8,0,0
2014-01-20,234,23,1,2
2014-01-21,189,17,1,2
2014-01-22,204,25,1,5
2014-01-23,202,20,1,3
2014-01-24,121,12,0,3
2014-01-25,77,6,0,1
2014-01-26,91,10,0,1
2014-01-27,196,23,2,1
2014-01-28,178,21,1,2
2014-01-29,161,14,0,1
2014-01-30,169,13,1,2
2014-01-31,117,6,0,2
2014-02-01,86,10,0,1
2014-02-02,72,5,1,0
2014-02-03,182,24,2,1
2014-02-04,165,15,0,1
2014-02-05,252,19,1,0
2014-02-06,169,17,1,2
2014-02-07,159,15,1,4
2014-02-08,85,9,0,0
2014-02-09,89,10,1,2
2014-02-10,192,18,1,2
2014-02-11,232,14,1,2
2014-02-12,187,9,0,1
2014-02-13,217,22,1,1
2014-02-14,166,5,0,1
2014-02-15,96,11,0,0
2014-02-16,103,10,0,3
2014-02-17,160,16,0,0
2014-02-18,164,14,0,1
2014-02-19,194,19,3,1
2014-02-20,184,16,0,1
2014-02-21,140,10,0,1
2014-02-22,64,6,0,1
2014-02-23,76,7,0,1
2014-02-24,177,16,1,0
2014-02-25,180,13,0,1
2014-02-26,182,13,0,3
2014-02-27,199,10,1,2
2014-02-28,132,7,1,1
2014-03-01,69,9,0,3
2014-03-02,65,8,0,3
2014-03-03,172,22,0,2
2014-03-04,178,16,0,1
2014-03-05,223,18,0,0
2014-03-06,206,19,0,2
2014-03-07,115,18,0,2
2014-03-08,65,11,0,1
2014-03-09,71,9,1,0
2014-03-10,172,23,0,2
2014-03-11,207,22,2,3
2014-03-12,168,23,2,2
2014-03-13,169,24,0,1
2014-03-14,136,7,0,0
2014-03-15,75,9,0,1
2014-03-16,61,6,0,1
2014-03-17,193,17,1,2
2014-03-18,207,22,1,3
2014-03-19,198,17,1,4
2014-03-20,173,25,2,2
2014-03-21,125,18,0,0
2014-03-22,87,13,0,0
2014-03-23,57,7,1,0
2014-03-24,168,20,0,1
2014-03-25,150,16,0,2
2014-03-26,134,17,0,2
2014-03-27,178,15,1,0
2014-03-28,132,13,1,1
2014-03-29,88,5,0,0
2014-03-30,67,11,0,1
2014-03-31,155,19,1,0
2014-04-01,182,21,0,1
2014-04-02,155,16,1,2
2014-04-03,130,14,0,5
2014-04-04,120,13,0,2
2014-04-05,44,5,0,1
2014-04-06,66,3,0,0
2014-04-07,325,37,3,3
2014-04-08,249,22,1,0
2014-04-09,137,10,2,1
2014-04-10,148,12,2,3
2014-04-11,132,7,3,2
2014-04-12,38,1,0,1
2014-04-13,54,5,0,0
2014-04-14,107,9,3,4
2014-04-15,98,10,0,0
2014-04-16,73,9,2,0
2014-04-17,37,3,0,0
2014-04-18,39,2,0,0
2014-04-19,31,4,0,0
2014-04-20,31,4,0,0
2014-04-21,110,12,0,1
2014-04-22,128,11,0,0
2014-04-23,108,8,0,0
2014-04-24,126,9,1,0
2014-04-25,64,8,0,0
2014-04-26,41,4,0,1
2014-04-27,48,5,0,1
2014-04-28,122,13,2,2
2014-04-29,151,18,2,0
2014-04-30,84,9,2,2
2014-05-01,43,1,0,0
2014-05-02,55,5,1,0
2014-05-03,26,2,0,0
2014-05-04,36,3,0,1
2014-05-05,147,12,3,2
2014-05-06,98,7,0,2
2014-05-07,144,11,1,0
2014-05-08,129,12,0,0
2014-05-09,82,9,1,1
2014-05-10,42,5,0,0
2014-05-11,49,8,1,0
2014-05-12,214,15,0,3
2014-05-13,156,12,1,2
2014-05-14,129,10,0,0
2014-05-15,87,6,1,0
2014-05-16,94,8,1,0
2014-05-17,60,1,1,1
2014-05-18,37,0,0,0
2014-05-19,123,15,0,3
2014-05-20,134,13,0,2
2014-05-21,163,13,0,3
2014-05-22,150,14,2,2
2014-05-23,115,13,0,1
2014-05-24,48,7,0,2
2014-05-25,40,7,0,1
2014-05-26,138,10,1,2
2014-05-27,195,16,0,2
2014-05-28,121,15,1,1
2014-05-29,146,18,1,4
2014-05-30,88,5,1,0
2014-05-31,51,6,0,0
2014-06-01,50,8,0,1
2014-06-02,116,11,0,2
2014-06-03,123,7,0,1
2014-06-04,112,10,0,2
2014-06-05,86,7,0,1
2014-06-06,106,11,2,0
2014-06-07,44,3,0,2
2014-06-08,36,1,0,2
2014-06-09,100,10,0,1
2014-06-10,104,12,0,0
2014-06-11,82,9,0,3
2014-06-12,91,13,1,0
2014-06-13,61,9,0,0
2014-06-14,35,2,0,0
2014-06-15,33,2,0,0
2014-06-16,93,6,0,2
2014-06-17,113,11,0,2
2014-06-18,78,6,0,0
2014-06-19,59,8,0,1
2014-06-20,69,8,0,3
2014-06-21,34,2,0,0
2014-06-22,33,4,0,0
2014-06-23,87,10,0,0
2014-06-24,91,10,1,1
2014-06-25,98,7,0,1
2014-06-26,89,4,1,1
2014-06-27,65,3,1,1
2014-06-28,32,2,0,0
2014-06-29,46,3,0,1
2014-06-30,106,10,0,1
2014-07-01,114,16,0,1
2014-07-02,94,8,0,1
2014-07-03,114,3,0,0
2014-07-04,78,0,0,0
2014-07-05,47,0,0,0
2014-07-06,45,0,0,0
2014-07-07,139,0,0,0
2014-07-08,128,0,0,0
2014-07-09,107,0,0,0
